idtb_livro,tb_titulo,tb_valor,pagina,autor
1,"A cabana",24.95,240,"Willian P. Youngn"
2,"Admiravel Mundo Novo",28.79,312,"Baldous Leonard Huxley"
3,"A Garota do Lago ",9.9,296,"Charlie Donlea"
4,"A cabana ",24.95,240,"Willian P. Youngn"
5,"A Garota do Trem ",26,378,"Paula Hawkins"
6,"A Menina Que Roubava Livros ",49.49,480,"Markus Suzak"
7,"A Seleção ",27.93,363,"Kiara Cass"
8,"Com Amor, Simon ",30.99,272,"Becky Albertalli"
9,"Da Terra à Lua",25.42,256,"Júlio Verne"
10,"Garota Exemplar",36.9,352,"Gillian Flynn"
11,"Heróis da Fé",45.25,248,"Orlando Boyer"
12,"Laranja Mecânica",34.99,218,"Anthony Burgess"
13,"Menina Bonita do Laço de Fita",37.89,34,"Ana Maria Machado"
14,"Na Ponta dos Dedos",38.98,592,"Sarah Waters"
15,"O Amor Não é Óbvio",31.9,392,"Elayne Baeta"
16,"O Homem Invisível",19.9,176,"H. G. Wells"
17,"O Iluminado",33.99,464,"Stephen King"
18,"O Menino Maluquinho",22.89,112,"Ziraldo Alves Pinto"
19,"O Monstro Que Adorava Ler",54.83,36,"Lili Chartrand"
20,"Pequeno Principe",16.89,96,"Antoine de Saint-Exupéry"
21,"O Peregrino",9.9,176,"O Peregrino"
22,"Orgulho e Preconceito",43.9,320,"Jane Austen"
23,"O Silêncio dos Inocentes",34.79,360,"Thomas Harris"
24,"Os Sete Maridos de Evelyn Hugo",31.34,360,"Taylor Jenkins"
25,"P.S. Eu Te Amo",37.05,368,"Cecelia Ahern"
26,"Um Amor Para Recordar",27.99,144,"Nicholas Sparks"
27,"Uma Vida Com Propósitos",37.13,400,"Rick Warren"
28,"Vermelho, Branco e Sangue Azul",29.99,352,"Casey McQuiston"
29,"Viagem ao Centro da Terra",49.99,240,"Jules Verne"
